"","Date","Flow","Value"
"1",2001-06-14,15.2334360208764,NA
"2",2001-06-15,15.2334360208764,NA
"3",2001-06-16,15.2334360208764,NA
"4",2001-06-17,14.2188408779852,NA
"5",2001-06-18,14.2188408779852,NA
"6",2001-06-19,13.2041076164116,NA
"7",2001-06-20,13.2041076164116,NA
"8",2001-06-21,11.1742266808283,NA
"9",2001-06-22,11.1742266808283,NA
"10",2001-06-23,12.1892362220587,NA
"11",2001-06-24,15.2334360208764,NA
"12",2001-06-25,16.2481693929031,NA
"13",2001-06-26,13.2041076164116,NA
"14",2001-06-27,11.1742266808283,NA
"15",2001-06-28,11.1742266808283,NA
"16",2001-06-29,10.1594245397309,NA
"17",2001-06-30,10.1594245397309,NA
"18",2001-07-01,11.1742266808283,NA
"19",2001-07-02,13.2041076164116,NA
"20",2001-07-03,11.1742266808283,NA
"21",2001-07-04,11.1742266808283,NA
"22",2001-07-05,9.65145331274432,NA
"23",2001-07-06,9.24539080246154,NA
"24",2001-07-07,9.04219540020964,NA
"25",2001-07-08,8.73740229683178,NA
"26",2001-07-09,8.73740229683178,NA
"27",2001-07-10,8.94059769908369,NA
"28",2001-07-11,8.94059769908369,NA
"29",2001-07-12,8.53449718565976,NA
"30",2001-07-13,7.82342214032731,NA
"31",2001-07-14,7.41701060057005,NA
"32",2001-07-15,7.82342214032731,NA
"33",2001-07-16,7.31540771563073,NA
"34",2001-07-17,7.41701060057005,NA
"35",2001-07-18,7.51861348550936,NA
"36",2001-07-19,6.80739329093415,NA
"37",2001-07-20,6.19777598129826,NA
"38",2001-07-21,5.5880636334677,NA
"39",2001-07-22,4.77525437769058,NA
"40",2001-07-23,5.28326016255128,NA
"41",2001-07-24,5.68966479043984,NA
"42",2001-07-25,5.28326016255128,NA
"43",2001-07-26,4.67365322071844,NA
"44",2001-07-27,4.06397716137408,NA
"45",2001-07-28,3.96237773233972,NA
"46",2001-07-29,3.65757944523667,NA
"47",2001-07-30,2.64149530442035,NA
"48",2001-07-31,3.65757944523667,NA
"49",2001-08-01,3.65757944523667,NA
"50",2001-08-02,3.35278115813361,NA
"51",2001-08-03,3.35278115813361,NA
"52",2001-08-04,3.04798287103056,NA
"53",2001-08-05,2.53989933117342,NA
"54",2001-08-06,2.53989933117342,NA
"55",2001-08-07,2.64149530442035,NA
"56",2001-08-08,1.72701405442051,NA
"57",2001-08-09,1.32065780632157,NA
"58",2001-08-10,0.67040799221323,NA
"59",2001-08-11,0.741511870175239,NA
"60",2001-08-12,0.0507763929103906,NA
"61",2001-08-13,0,NA
"62",2001-08-14,0,NA
"63",2001-08-15,0,NA
"64",2001-08-16,0,NA
"65",2001-08-17,0.0913975072387031,NA
"66",2001-08-18,0.0101552785820781,NA
"67",2001-08-19,0,NA
"68",2001-08-20,0,NA
"69",2001-08-21,0,NA
"70",2001-08-22,0,NA
"71",2001-08-23,0,NA
"72",2001-08-24,0,NA
"73",2001-08-25,0,NA
"74",2001-08-26,0,NA
"75",2001-08-27,0.538357933140927,NA
"76",2001-08-28,0.426623267772055,NA
"77",2001-08-29,0.0203105571641562,NA
"78",2001-08-30,0.914192716654404,NA
"79",2001-08-31,1.52383593037104,NA
"80",2001-09-01,1.52383593037104,NA
"81",2001-09-02,0.538357933140927,NA
"82",2001-09-03,1.32065780632157,NA
"83",2001-09-04,4.36884974980202,NA
"84",2001-09-05,7.62021637044868,NA
"85",2001-09-06,34.5173787622829,NA
"86",2001-09-07,35.532595784703,NA
"87",2001-09-08,24.3660373207429,NA
"88",2001-09-09,176.638749272865,NA
"89",2001-09-10,148.214122953094,NA
"90",2001-09-11,58.8805844770607,53
"91",2001-09-12,40.607990262205,NA
"92",2001-09-13,33.5021617398628,NA
"93",2001-09-14,31.4717276950227,NA
"94",2001-09-15,31.4717276950227,NA
"95",2001-09-16,29.4417943687821,NA
"96",2001-09-17,28.4265600802034,NA
"97",2001-09-18,27.4113257916247,NA
"98",2001-09-19,27.4113257916247,NA
"99",2001-09-20,26.396091503046,NA
"100",2001-09-21,28.4265600802034,NA
"101",2001-09-22,34.5173787622829,NA
"102",2001-09-23,31.4717276950227,NA
"103",2001-09-24,29.4417943687821,NA
"104",2001-09-25,28.4265600802034,NA
"105",2001-09-26,25.3808572144673,NA
"106",2001-09-27,24.3660373207429,NA
"107",2001-09-28,23.3507857657119,NA
"108",2001-09-29,21.3213704791435,NA
"109",2001-09-30,22.3359140790911,NA
"110",2001-10-01,21.6255936917903,NA
"111",2001-10-02,21.1183098079136,NA
"112",2001-10-03,20.9152491366836,NA
"113",2001-10-04,21.2198401435285,NA
"114",2001-10-05,28.9341772244928,NA
"115",2001-10-06,45.7855090206361,NA
"116",2001-10-07,76.8480075859536,NA
"117",2001-10-08,55.225927509519,NA
"118",2001-10-09,47.3083086554688,NA
"119",2001-10-10,41.7247099944156,NA
"120",2001-10-11,39.2882305786833,NA
"121",2001-10-12,38.1715108464727,NA
"122",2001-10-13,36.445671260329,NA
"123",2001-10-14,34.1112919533149,NA
